id,id.1,relationship
Abbay A,Barbary A,Sibling
Abbay A,George C,Sibling
Abbay A,Hannah A,Sibling
Abbay A,Jesse B,Sibling
Abbay A,Kate D,Sibling
Abbay A,Lawrence B,Sibling
Abbay A,Sall Twine,Child
Abram A,Nancy F,Spouse
Adam A,Alce B,Child
Adam A,Cecelia B,Sibling
Adam A,George D,Sibling
Adam A,Kate A,Sibling
Agnes A,Sambo A,Spouse
Agnes B,Betty C,Sibling
Agnes B,Joan A,Child
Agnes B,Simon B,Sibling
Agnes B,Will B,Spouse
Alce A,Darcus A,Child
Alce A,Moses A,Sibling
Alce A,Nancy A,Sibling
Alce A,Townshend A,Sibling
Alce B,Sam A,Spouse
Alce C,Charles Freeman,Spouse
Alce D,John B,Spouse
Alce E,Cornelia A,Child
Alce E,Paschall A,Child
Alexander A,Darcus B,Sibling
Alexander A,Diana A,Sibling
Alexander A,Forrester A,Sibling
Alexander A,Letty B,Sibling
Alexander A,Lucy B,Sibling
Alexander A,Nathan A,Child
Alexander A,Peg A,Child
Alla A,Barbara A,Sibling
Alla A,Grace A,Sibling
Alla A,Isaac A,Child
Alla A,Kitty A,Child
Alla A,James B,Spouse
Alla A,Letty A,Sibling
Alla A,Levina A,Sibling
Alla A,Lucy E,Sibling
Alla A,Mima A,Sibling
Alla A,Nancy E,Sibling
Alla A,Sinah A,Sibling
Ambrose A,Daniel D,Sibling
Ambrose A,Delia B,Child
Ambrose A,Julia A,Sibling
Ambrose A,Nelly A,Sibling
Ambrose B,Alce E,Sibling
Ambrose B,Cornelia A,Child
Ambrose B,Davy C,Sibling
Ambrose B,Lewis A,Sibling
Ambrose B,Paschall A,Child
Anderson A,Agnes A,Child
Anderson A,Cecelia A,Sibling
Anderson A,Heuky A,Sibling
Anderson A,Sambo A,Child
Andrew A,Betty E,Child
Anna A,Alce C,Child
Anna A,Charles C,Sibling
Anna A,Charles Freeman,Child
Anna A,Christopher B,Sibling
Anna A,Emery A,Sibling
Anna A,Henriette A,Sibling
Anna A,Judy B,Sibling
Anna A,NA11,Spouse
Anna A,Tom B,Sibling
Anna A,Viner A,Sibling
Anna B,Anna A,Child
Anna B,Daniel B,Sibling
Anna B,Sandy A,Sibling
Augusta A,Bob A,Sibling
Augusta A,Grace C,Child
Augusta A,Judy D,Sibling
Augusta A,Sall C,Sibling
Barbara A,Grace A,Sibling
Barbara A,Isaac A,Child
Barbara A,Kitty A,Child
Barbara A,Letty A,Sibling
Barbara A,Levina A,Sibling
Barbara A,Lucy E,Sibling
Barbara A,Mima A,Sibling
Barbara A,Nancy E,Sibling
Barbara A,Sinah A,Sibling
Barbary A,George C,Sibling
Barbary A,Hannah A,Sibling
Barbary A,Jesse B,Sibling
Barbary A,Kate D,Sibling
Barbary A,Lawrence B,Sibling
